Period_End_Date,Ticker,Free Cash Flow
2025-03-31,RELIANCE.NS,387360000000.0
2024-03-31,RELIANCE.NS,59050000000.0
2023-03-31,RELIANCE.NS,-259560000000.0
2022-03-31,RELIANCE.NS,105090000000.0
2021-03-31,RELIANCE.NS,
2025-06-30,TCS.NS,110610000000.0
2024-09-30,TCS.NS,107700000000.0
2024-06-30,TCS.NS,95390000000.0
2025-03-31,HDFCBANK.NS,1129220100000.0
2024-03-31,HDFCBANK.NS,968484400000.0
2023-03-31,HDFCBANK.NS,433580300000.0
2022-03-31,HDFCBANK.NS,554693800000.0
2021-03-31,HDFCBANK.NS,
2025-03-31,INFY.NS,892000000.0
2024-03-31,INFY.NS,848000000.0
2023-12-31,INFY.NS,665000000.0
2025-03-31,ICICIBANK.NS,1180352527000.0
2024-03-31,ICICIBANK.NS,1536059319000.0
2023-03-31,ICICIBANK.NS,-62388729000.0
2022-03-31,ICICIBANK.NS,562514555000.0
2021-03-31,ICICIBANK.NS,
2025-03-31,HINDUNILVR.NS,106110000000.0
2024-03-31,HINDUNILVR.NS,139920000000.0
2023-03-31,HINDUNILVR.NS,87990000000.0
2022-03-31,HINDUNILVR.NS,78200000000.0
2021-03-31,HINDUNILVR.NS,
2025-03-31,SBIN.NS,428490705000.0
2024-03-31,SBIN.NS,174573048000.0
2023-03-31,SBIN.NS,-900573111000.0
2022-03-31,SBIN.NS,543895863000.0
2021-03-31,SBIN.NS,
2025-03-31,ITC.NS,153483400000.0
2024-03-31,ITC.NS,136163300000.0
2023-03-31,ITC.NS,161345600000.0
2022-03-31,ITC.NS,136338700000.0
2021-03-31,ITC.NS,
2025-06-30,BHARTIARTL.NS,193494000000.0
2025-03-31,BHARTIARTL.NS,301888000000.0
2024-12-31,BHARTIARTL.NS,138972000000.0
2024-09-30,BHARTIARTL.NS,97137000000.0
2024-06-30,BHARTIARTL.NS,48526000000.0
2023-12-31,BHARTIARTL.NS,
2025-03-31,LT.NS,47418800000.0
2024-03-31,LT.NS,137497500000.0
2023-03-31,LT.NS,186331700000.0
2022-03-31,LT.NS,160529500000.0
2021-03-31,LT.NS,
2025-03-31,TATAMOTORS.NS,250600000000.0
2024-03-31,TATAMOTORS.NS,365010000000.0
2023-03-31,TATAMOTORS.NS,172923300000.0
2022-03-31,TATAMOTORS.NS,-8855900000.0
2021-03-31,TATAMOTORS.NS,
2025-03-31,AXISBANK.NS,419381400000.0
2024-03-31,AXISBANK.NS,-79400800000.0
2023-03-31,AXISBANK.NS,206853600000.0
2022-03-31,AXISBANK.NS,267283300000.0
2025-03-31,BAJFINANCE.NS,-692362900000.0
2024-03-31,BAJFINANCE.NS,-708810900000.0
2023-03-31,BAJFINANCE.NS,-429901100000.0
2022-03-31,BAJFINANCE.NS,-377240700000.0
2021-03-31,BAJFINANCE.NS,
2025-03-31,M&M.NS,-72161400000.0
2024-03-31,M&M.NS,-155759400000.0
2023-03-31,M&M.NS,-133785900000.0
2022-03-31,M&M.NS,32077500000.0
2021-03-31,M&M.NS,
2025-03-31,ADANIPORTS.NS,91773600000.0
2024-03-31,ADANIPORTS.NS,76012800000.0
2023-03-31,ADANIPORTS.NS,27584600000.0
2022-03-31,ADANIPORTS.NS,66064400000.0
2021-03-31,ADANIPORTS.NS,
