Quarter_End_Date,Ticker,Total Revenue,Basic EPS,Net Income
2025-06-30,RELIANCE.NS,2436320000000.0,19.95,269940000000.0
2025-03-31,RELIANCE.NS,2613880000000.0,,194070000000.0
2024-12-31,RELIANCE.NS,2399860000000.0,13.7,185400000000.0
2024-09-30,RELIANCE.NS,2315350000000.0,12.24,165630000000.0
2024-06-30,RELIANCE.NS,2317840000000.0,11.19,151380000000.0
2024-03-31,RELIANCE.NS,,,
2023-12-31,RELIANCE.NS,,12.76,
2025-06-30,TCS.NS,634370000000.0,35.27,127600000000.0
2025-03-31,TCS.NS,644790000000.0,,122240000000.0
2024-12-31,TCS.NS,639730000000.0,34.21,123800000000.0
2024-09-30,TCS.NS,642590000000.0,32.92,119090000000.0
2024-06-30,TCS.NS,626130000000.0,33.28,120400000000.0
2024-03-31,TCS.NS,,,
2023-12-31,TCS.NS,,30.29,
2025-06-30,HDFCBANK.NS,853464600000.0,10.615,162579100000.0
2025-03-31,HDFCBANK.NS,234116400000.0,,153934600000.0
2024-12-31,HDFCBANK.NS,652796600000.0,23.11,176566100000.0
2024-09-30,HDFCBANK.NS,459889200000.0,,173810500000.0
2024-06-30,HDFCBANK.NS,724169900000.0,10.835,164748500000.0
2024-03-31,HDFCBANK.NS,,23.2,
2023-12-31,HDFCBANK.NS,,11.37,
2025-06-30,INFY.NS,4941000000.0,0.2,809000000.0
2025-03-31,INFY.NS,4730000000.0,0.2,813000000.0
2024-12-31,INFY.NS,4939000000.0,0.19,804000000.0
2024-09-30,INFY.NS,4894000000.0,0.19,777000000.0
2024-06-30,INFY.NS,4714000000.0,0.18,763000000.0
2024-03-31,INFY.NS,,,
2023-12-31,INFY.NS,,,
2025-06-30,ICICIBANK.NS,514859700000.0,19.02,135576000000.0
2025-03-31,ICICIBANK.NS,558564237000.0,19.11,135022155000.0
2024-12-31,ICICIBANK.NS,519931500000.0,18.26,128833700000.0
2024-09-30,ICICIBANK.NS,507172500000.0,18.39,129477700000.0
2024-06-30,ICICIBANK.NS,461484400000.0,16.64,116958400000.0
2024-03-31,ICICIBANK.NS,,,
2023-12-31,ICICIBANK.NS,,,
2025-06-30,HINDUNILVR.NS,163230000000.0,11.73,27560000000.0
2025-03-31,HINDUNILVR.NS,154460000000.0,,24640000000.0
2024-12-31,HINDUNILVR.NS,155900000000.0,12.7,29840000000.0
2024-09-30,HINDUNILVR.NS,157290000000.0,11.03,25910000000.0
2024-06-30,HINDUNILVR.NS,155230000000.0,11.11,26100000000.0
2023-12-31,HINDUNILVR.NS,,10.68,
2025-06-30,SBIN.NS,887253600000.0,23.76,212014700000.0
2025-03-31,SBIN.NS,884586956000.0,,196004571000.0
2024-12-31,SBIN.NS,904568300000.0,21.12,188531600000.0
2024-09-30,SBIN.NS,901836200000.0,22.17,197827600000.0
2024-06-30,SBIN.NS,804242700000.0,21.65,193249600000.0
2023-12-31,SBIN.NS,,12.4,
2025-06-30,ITC.NS,213729300000.0,4.19,52442000000.0
2025-03-31,ITC.NS,185650500000.0,,197273700000.0
2024-12-31,ITC.NS,185803600000.0,3.95,49348000000.0
2024-09-30,ITC.NS,205815700000.0,3.99,49928700000.0
2024-06-30,ITC.NS,176667800000.0,4.08,50915900000.0
2024-03-31,ITC.NS,,,
2023-12-31,ITC.NS,,4.28,
2025-06-30,BHARTIARTL.NS,494626000000.0,10.26,59479000000.0
2025-03-31,BHARTIARTL.NS,478762000000.0,,110218000000.0
2024-12-31,BHARTIARTL.NS,451293000000.0,25.54,147812000000.0
2024-09-30,BHARTIARTL.NS,414733000000.0,6.21,35932000000.0
2024-06-30,BHARTIARTL.NS,385064000000.0,7.21,41599000000.0
2023-12-31,BHARTIARTL.NS,,4.27,
2025-06-30,LT.NS,636789200000.0,26.3,36171900000.0
2025-03-31,LT.NS,728664700000.0,,54972600000.0
2024-12-31,LT.NS,646677800000.0,24.43,33588400000.0
2024-09-30,LT.NS,615545800000.0,24.69,33952900000.0
2024-06-30,LT.NS,551198200000.0,20.26,27857200000.0
2024-03-31,LT.NS,,,
